W-passenger flthr aim-still	zW-passenger flame aim-still
W-passenger flthr idle	zW-passenger flame idle
W-passenger placan aim-still	zW-passenger cannon aim-still
W-passenger placan idle	zW-passenger cannon idle
crouch flthr aim-move	zcrouch flame aim-move
crouch flthr aim-still	zcrouch flame aim-still
crouch flthr airborne	zcrouch flame airborne
crouch flthr idle	zcrouch flame idle
crouch flthr land-hard	zcrouch flame land-hard
crouch flthr land-soft	zcrouch flame land-soft
crouch flthr move-back	zcrouch flame move-back
crouch flthr move-front	zcrouch flame move-front
crouch flthr move-left	zcrouch flame move-left
crouch flthr move-right	zcrouch flame move-right
crouch flthr turn-left	zcrouch flame turn-left
crouch flthr turn-right	zcrouch flame turn-right
crouch placan aim-move	zcrouch cannon aim-move
crouch placan aim-still	zcrouch cannon aim-still
crouch placan airborne	zcrouch cannon airborne
crouch placan idle	zcrouch cannon idle
crouch placan land-hard	zcrouch cannon land-hard
crouch placan land-soft	zcrouch cannon land-soft
crouch placan move-back	zcrouch cannon move-back
crouch placan move-front	zcrouch cannon move-front
crouch placan move-left	zcrouch cannon move-left
crouch placan move-right	zcrouch cannon move-right
crouch placan turn-left	zcrouch cannon turn-left
crouch placan turn-right	zcrouch cannon turn-right
scorpionLF flthr aim-still	zscorpionLF flame aim-still
scorpionLF flthr idle	zscorpionLF flame idle
stand flthr aim-move	zstand flame aim-move
stand flthr aim-still	zstand flame aim-still
stand flthr airborne	zstand flame airborne
stand flthr ft melee	zstand flame melee	
stand flthr idle	zstand flame idle
stand flthr land-hard	zstand flame land-hard
stand flthr land-soft	zstand flame land-soft
stand flthr move-back	zstand flame move-back
stand flthr move-front	zstand flame move-front
stand flthr move-left	zstand flame move-left
stand flthr move-right	zstand flame move-right
stand flthr throw-grenade	zstand flame throw-grenade
stand flthr turn-left	zstand flame turn-left
stand flthr turn-right	zstand flame turn-right
stand placan aim-move	zstand cannon aim-move
stand placan aim-still	zstand cannon aim-still
stand placan airborne	zstand cannon airborne
stand placan idle	zstand cannon idle
stand placan land-hard	zstand cannon land-hard
stand placan land-soft	zstand cannon land-soft
stand placan move-back	zstand cannon move-back
stand placan move-front	zstand cannon move-front
stand placan move-left	zstand cannon move-left
stand placan move-right	zstand cannon move-right
stand placan pc melee	zstand cannon melee
stand placan throw-grenade	zstand cannon throw-grenade
stand placan turn-left	zstand cannon turn-left
stand placan turn-right	zstand cannon turn-right
